,season,seasonNumber,series,episode,inCompetition,immune,chef,challengeType,outcome,rating
77,All Stars: New York,8.0,US,3.0,True,False,Dale T.,Quickfire,HIGH,
78,All Stars: New York,8.0,US,3.0,True,False,Fabio V.,Quickfire,LOW,
79,All Stars: New York,8.0,US,3.0,True,False,Jamie L.,Quickfire,LOW,
80,All Stars: New York,8.0,US,3.0,True,False,Marcel V.,Quickfire,HIGH,
81,All Stars: New York,8.0,US,3.0,True,False,Mike I.,Quickfire,LOW,
82,All Stars: New York,8.0,US,3.0,True,False,Richard B.,Quickfire,WIN,
83,All Stars: New York,8.0,US,3.0,True,False,Spike M.,Quickfire,WIN,
84,All Stars: New York,8.0,US,3.0,True,False,Stephen A.,Quickfire,WIN,
85,All Stars: New York,8.0,US,3.0,True,False,Tiffani F.,Quickfire,HIGH,
86,All Stars: New York,8.0,US,3.0,True,False,Tiffany D.,Quickfire,LOW,
87,All Stars: New York,8.0,US,3.0,True,False,Tre W.,Quickfire,WIN,
88,All Stars: New York,8.0,US,3.0,False,False,Elia A.,Quickfire,,
89,All Stars: New York,8.0,US,3.0,False,False,Jennifer C.,Quickfire,,
90,All Stars: New York,8.0,US,3.0,True,False,Angelo S.,Elimination,HIGH,
91,All Stars: New York,8.0,US,3.0,True,False,Antonia L.,Elimination,HIGH,
92,All Stars: New York,8.0,US,3.0,True,False,Carla H.,Elimination,IN,
93,All Stars: New York,8.0,US,3.0,True,False,Casey T.,Elimination,IN,
94,All Stars: New York,8.0,US,3.0,True,False,Dale L.,Elimination,LOW,
95,All Stars: New York,8.0,US,3.0,True,False,Dale T.,Elimination,WIN,
96,All Stars: New York,8.0,US,3.0,True,False,Fabio V.,Elimination,LOW,
97,All Stars: New York,8.0,US,3.0,True,False,Jamie L.,Elimination,IN,
98,All Stars: New York,8.0,US,3.0,True,False,Marcel V.,Elimination,IN,
99,All Stars: New York,8.0,US,3.0,True,False,Mike I.,Elimination,IN,
100,All Stars: New York,8.0,US,3.0,True,False,Richard B.,Elimination,IN,
101,All Stars: New York,8.0,US,3.0,True,False,Spike M.,Elimination,IN,
102,All Stars: New York,8.0,US,3.0,True,False,Stephen A.,Elimination,OUT,
103,All Stars: New York,8.0,US,3.0,True,False,Tiffani F.,Elimination,LOW,
104,All Stars: New York,8.0,US,3.0,True,False,Tiffany D.,Elimination,IN,
105,All Stars: New York,8.0,US,3.0,True,False,Tre W.,Elimination,HIGH,
106,All Stars: New York,8.0,US,3.0,False,False,Elia A.,Elimination,,
107,All Stars: New York,8.0,US,3.0,False,False,Jennifer C.,Elimination,,
108,All Stars: New York,8.0,US,4.0,True,False,Angelo S.,Quickfire,IN,
109,All Stars: New York,8.0,US,4.0,True,False,Antonia L.,Quickfire,IN,
110,All Stars: New York,8.0,US,4.0,True,False,Carla H.,Quickfire,LOW,
111,All Stars: New York,8.0,US,4.0,True,False,Casey T.,Quickfire,IN,
112,All Stars: New York,8.0,US,4.0,True,False,Dale T.,Quickfire,IN,
113,All Stars: New York,8.0,US,4.0,True,False,Fabio V.,Quickfire,IN,
114,All Stars: New York,8.0,US,4.0,True,False,Jamie L.,Quickfire,IN,
115,All Stars: New York,8.0,US,4.0,True,False,Marcel V.,Quickfire,HIGH,
116,All Stars: New York,8.0,US,4.0,True,False,Mike I.,Quickfire,IN,
117,All Stars: New York,8.0,US,4.0,True,False,Richard B.,Quickfire,IN,
118,All Stars: New York,8.0,US,4.0,True,False,Spike M.,Quickfire,IN,
119,All Stars: New York,8.0,US,4.0,True,False,Tiffani F.,Quickfire,LOW,
120,All Stars: New York,8.0,US,4.0,True,False,Tiffany D.,Quickfire,IN,
121,All Stars: New York,8.0,US,4.0,True,False,Tre W.,Quickfire,WIN,
122,All Stars: New York,8.0,US,4.0,False,False,Dale L.,Quickfire,,
123,All Stars: New York,8.0,US,4.0,False,False,Elia A.,Quickfire,,
124,All Stars: New York,8.0,US,4.0,False,False,Jennifer C.,Quickfire,,
125,All Stars: New York,8.0,US,4.0,False,False,Stephen A.,Quickfire,,
126,All Stars: New York,8.0,US,4.0,True,False,Angelo S.,Elimination,IN,
127,All Stars: New York,8.0,US,4.0,True,False,Antonia L.,Elimination,HIGH,
128,All Stars: New York,8.0,US,4.0,True,False,Carla H.,Elimination,WIN,
129,All Stars: New York,8.0,US,4.0,True,False,Casey T.,Elimination,LOW,
130,All Stars: New York,8.0,US,4.0,True,False,Dale T.,Elimination,IN,
131,All Stars: New York,8.0,US,4.0,True,False,Fabio V.,Elimination,HIGH,
132,All Stars: New York,8.0,US,4.0,True,False,Jamie L.,Elimination,IN,
133,All Stars: New York,8.0,US,4.0,True,False,Marcel V.,Elimination,IN,
134,All Stars: New York,8.0,US,4.0,True,False,Mike I.,Elimination,IN,
135,All Stars: New York,8.0,US,4.0,True,False,Richard B.,Elimination,HIGH,
136,All Stars: New York,8.0,US,4.0,True,False,Spike M.,Elimination,OUT,
137,All Stars: New York,8.0,US,4.0,True,False,Tiffani F.,Elimination,IN,
138,All Stars: New York,8.0,US,4.0,True,False,Tiffany D.,Elimination,LOW,
139,All Stars: New York,8.0,US,4.0,True,True,Tre W.,Elimination,LOW,
140,All Stars: New York,8.0,US,4.0,False,False,Dale L.,Elimination,,
141,All Stars: New York,8.0,US,4.0,False,False,Elia A.,Elimination,,
142,All Stars: New York,8.0,US,4.0,False,False,Jennifer C.,Elimination,,
