,name,chef,hometown,city,state,age,season,seasonNumber,series,placement,personOfColor,occupation,gender,X14,occupation_category
368,Roy Yamaguchi,Roy Yamaguchi,,Honolulu,Hawaii,,Masters Season 1,1.0,US Masters,20.0,POC,Chef/Owner,Male,,Executive Chef and Owner/Partner/Founder
369,Tim Love,Tim Love,,Fort Worth,Texas,,Masters Season 1,1.0,US Masters,21.0,,Chef/Owner,Male,,Executive Chef and Owner/Partner/Founder
370,Michael Schlow,Michael Schlow,,Boston,Massachusetts,,Masters Season 1,1.0,US Masters,22.0,,Executive chef/Owner,Male,,
371,Douglas Rodriguez,Douglas Rodriguez,,Philadelphia,Pennsylvania,,Masters Season 1,1.0,US Masters,23.0,POC,Chef/Owner,Male,,Executive Chef and Owner/Partner/Founder
372,John Besh,John Besh,,New Orleans,Louisiana,,Masters Season 1,1.0,US Masters,24.0,,Chef/Owner,Male,,Executive Chef and Owner/Partner/Founder
373,Marcus Samuelsson,Marcus Samuelsson,,New York,New York,,Masters Season 2,2.0,US Masters,1.0,POC,,Male,,
374,Rick Moonen,Rick Moonen,,Las Vegas,Nevada,,Masters Season 2,2.0,US Masters,2.0,,,Male,,
375,Susur Lee,Susur Lee,,New York,New York,,Masters Season 2,2.0,US Masters,2.0,POC,,Male,,
376,Jonathan Waxman,Jonathan Waxman,,New York,New York,,Masters Season 2,2.0,US Masters,4.0,,,Male,,
377,Susan Feniger,Susan Feniger,,Los Angeles,California,,Masters Season 2,2.0,US Masters,5.0,,,Female,,
378,Tony Mantuano,Tony Mantuano,,Chicago,Illinois,,Masters Season 2,2.0,US Masters,6.0,,,Male,,
379,Jody Adams,Jody Adams,,Cambridge,Massachusetts,,Masters Season 2,2.0,US Masters,7.0,,,Female,,
380,Carmen Gonzalez,Carmen Gonzalez,,New York,New York,,Masters Season 2,2.0,US Masters,8.0,POC,,Female,,
381,Jerry Traunfeld,Jerry Traunfeld,,Seattle,Washington,,Masters Season 2,2.0,US Masters,9.0,,,Male,,
382,Ana Sortun,Ana Sortun,,Cambridge,Massachusetts,,Masters Season 2,2.0,US Masters,10.0,,,Female,,
383,Wylie Dufresne,Wylie Dufresne,,New York,New York,,Masters Season 2,2.0,US Masters,11.0,,,Male,,
384,Maria Hines,Maria Hines,,Seattle,Washington,,Masters Season 2,2.0,US Masters,12.0,,,Female,,
385,Graham Elliot Bowles,Graham Elliot,,Chicago,Illinois,,Masters Season 2,2.0,US Masters,13.0,,,Male,,
386,Rick Tramonto,Rick Tramonto,,Chicago,Illinois,,Masters Season 2,2.0,US Masters,14.0,,,Male,,
387,Monica Pope,Monica Pope,,Houston,Texas,,Masters Season 2,2.0,US Masters,15.0,,,Female,,
388,Jimmy Bradley,Jimmy Bradley,,New York,New York,,Masters Season 2,2.0,US Masters,16.0,,,Male,,
389,Govind Armstrong,Govind Armstrong,,Los Angeles,California,,Masters Season 2,2.0,US Masters,17.0,POC,,Male,,
390,Ludo Lefebvre,Ludo Lefebvre,,Los Angeles,California,,Masters Season 2,2.0,US Masters,18.0,,,Male,,
391,Thierry Rautureau,Thierry Rautureau,,Seattle,Washington,,Masters Season 2,2.0,US Masters,19.0,,,Male,,
392,Debbie Gold,Debbie Gold,,Kansas City,Missouri,,Masters Season 2,2.0,US Masters,20.0,,,Female,,
393,David Burke,David Burke,,New York,New York,,Masters Season 2,2.0,US Masters,21.0,,,Male,,
394,Mark Peel,Mark Peel,,Los Angeles,California,,Masters Season 2,2.0,US Masters,22.0,,,Male,,
395,Floyd Cardoz,Floyd Cardoz,,New York,New York,,Masters Season 3,3.0,US Masters,1.0,POC,,Male,,
396,Mary Sue Milliken,Mary Sue Milliken,,Los Angeles,California,,Masters Season 3,3.0,US Masters,2.0,,,Female,,
397,Traci Des Jardins,Traci Des Jardins,,San Francisco,California,,Masters Season 3,3.0,US Masters,2.0,,,Female,,
398,Naomi Pomeroy,Naomi Pomeroy,,Portland,Oregon,,Masters Season 3,3.0,US Masters,4.0,,,Female,,
399,Hugh Acheson,Hugh Acheson,,Athens,Georgia,,Masters Season 3,3.0,US Masters,5.0,,,Male,,
400,Celina Tio,Celina Tio,,Kansas City,Missouri,,Masters Season 3,3.0,US Masters,6.0,POC,,Female,,
401,Alex Stratta,Alex Stratta,,Las Vegas,Nevada,,Masters Season 3,3.0,US Masters,7.0,,,Male,,
402,George Mendes,George Mendes,,New York,New York,,Masters Season 3,3.0,US Masters,8.0,POC,,Male,,
403,Suvir Saran,Suvir Saran,,New York,New York,,Masters Season 3,3.0,US Masters,9.0,POC,,Male,,
404,John Currence,John Currence,,Oxford,Mississippi,,Masters Season 3,3.0,US Masters,10.0,,,Male,,
405,Sue Zemanick,Sue Zemanick,,New Orleans,Louisiana,,Masters Season 3,3.0,US Masters,11.0,,,Female,,
406,John Rivera Sedlar,John Rivera Sedlar,,Los Angeles,California,,Masters Season 3,3.0,US Masters,12.0,,,Male,,
407,Chris Cosentino,Chris Cosentino,,San Francisco,California,,Masters Season 4,4.0,US Masters,1.0,,,Male,,
408,Kerry Heffernan,Kerry Heffernan,,New York,New York,,Masters Season 4,4.0,US Masters,2.0,,,Male,,
409,Lorena Garcia,Lorena Garcia,,Miami,Florida,,Masters Season 4,4.0,US Masters,3.0,POC,,Female,,
410,Patricia Yeo,Patricia Yeo,,Cambridge,Massachusetts,,Masters Season 4,4.0,US Masters,4.0,POC,,Female,,
411,Takashi Yagihashi,Takashi Yagihashi,,Chicago,Illinois,,Masters Season 4,4.0,US Masters,5.0,POC,,Male,,
412,Art Smith,Art Smith,,Atlanta,Georgia,,Masters Season 4,4.0,US Masters,6.0,,,Male,,
413,Thierry Rautureau,Thierry Rautureau,,Seattle,Washington,,Masters Season 4,4.0,US Masters,7.0,,,Male,,
414,Clark Frasier,Clark Frasier,,Ogunquit,Maine,,Masters Season 4,4.0,US Masters,8.0,,,Male,,
415,Mark Gaier,Mark Gaier,,Ogunquit,Maine,,Masters Season 4,4.0,US Masters,9.0,,,Male,,
416,Debbie Gold,Debbie Gold,,Kansas City,Missouri,,Masters Season 4,4.0,US Masters,10.0,,,Female,,
417,Sue Torres,Sue Torres,,New York,New York,,Masters Season 4,4.0,US Masters,11.0,POC,,Female,,
418,Missy Robbins,Missy Robbins,,New York,New York,,Masters Season 4,4.0,US Masters,12.0,,,Female,,
419,Douglas Keane,Douglas Keane,,Sonoma Valley,California,,Masters Season 5,5.0,US Masters,1.0,,,Male,,
420,Bryan Voltaggio,Bryan V.,,Frederick,Maryland,,Masters Season 5,5.0,US Masters,2.0,,,Male,,
421,Jennifer Jasinski,Jennifer Jasinski,,Colorado,Colorado,,Masters Season 5,5.0,US Masters,2.0,,,Female,,
422,David Burke,David Burke,,New York,New York,,Masters Season 5,5.0,US Masters,4.0,,,Male,,
423,Sang Yoon,Sang Yoon,,Los Angeles,California,,Masters Season 5,5.0,US Masters,5.0,POC,,Male,,
424,Neal Fraser,Neal Fraser,,Los Angeles,California,,Masters Season 5,5.0,US Masters,6.0,,,Male,,
425,Sue Zemanick,Sue Zemanick,,New Orleans,Louisiana,,Masters Season 5,5.0,US Masters,7.0,,,Female,,
426,Lynn Crawford,Lynn Crawford,,Toronto,Ontario,,Masters Season 5,5.0,US Masters,8.0,,,Female,,
427,Franklin Becker,Franklin Becker,,New York,New York,,Masters Season 5,5.0,US Masters,9.0,,,Male,,
428,Odette Fada,Odette Fada,,New York,New York,,Masters Season 5,5.0,US Masters,10.0,,,Female,,
429,Jenn Louis,Jenn Louis,,Portland,Oregon,,Masters Season 5,5.0,US Masters,11.0,,,Female,,
430,Richard Sandoval,Richard Sandoval,,Los Angeles,California,,Masters Season 5,5.0,US Masters,12.0,POC,,Male,,
431,Herb Wilson,Herb Wilson,,Las Vegas,Nevada,,Masters Season 5,5.0,US Masters,13.0,POC,,Male,,
432,Anya El-Wattar,,"Moscow, Russia ",San Francisco,California,,Canada,22.0,US,,,,Female,,
433,Bailey Sullivan,,"Chicago, Illinois",Chicago,Illinois,,Canada,22.0,US,,,,Female,,
434,Cesar Murillo,,"Dallas, Texas",Chicago,Illinois,,Canada,22.0,US,,POC,,Male,,
435,Corwin Hemming,,"Augusta, Georgia",Brooklyn,New York,,Canada,22.0,US,,POC,,Male,,
436,Henry Lu,,"Bronx, New York",Houston,Texas,,Canada,22.0,US,,POC,,Male,,
437,Kat Turner,,"Sturgeon Bay, Wisconsin",Los Angeles,California,,Canada,22.0,US,,,,Female,,
438,Katianna Hong,,"Clifton Park, New York",Los Angeles,California,,Canada,22.0,US,,POC,,Female,,
439,Lana Lagomarsini,,"Bronx, New York",Harlem,New York,,Canada,22.0,US,,POC,,Female,,
440,Massimo Piedimonte,,"Montreal, Quebec",Montreal,Quebec,,Canada,22.0,US,,,,Male,,
441,Mimi Weissenborn,,"Frederick, Maryland",Portland,Maine,,Canada,22.0,US,,,,Female,,
442,Paula Endara,,"Quito, Ecuador",Lexington,Kentucky,,Canada,22.0,US,,POC,,Female,,
443,Shuai Wang,,"Queens, New York",North Charleston,South Carolina,,Canada,22.0,US,,POC,,Male,,
444,Tristen Epps,,"Virginia Beach, Virginia",Houston,Texas,,Canada,22.0,US,,POC,,Male,,
445,Vincenzo Loseto,,"Massapequa, New York",Napa,California,,Canada,22.0,US,,,,Male,,
446,Zubair Mohajir,,"Chennai, India ",Chicago,Illinois,,Canada,22.0,US,,POC,,Male,,
