,season,seasonNumber,series,overallEpisodeNumber,episode,episodeName,airDate,nCompetitors
328,Masters Season 3,3.0,US Masters,,1.0,Restaurant Wars,2011-04-06,12.0
329,Masters Season 3,3.0,US Masters,,2.0,Everything Old is New Again,2011-04-13,11.0
330,Masters Season 3,3.0,US Masters,,3.0,Diners to Donors,2011-04-20,10.0
331,Masters Season 3,3.0,US Masters,,4.0,Biggest Loser,2011-04-27,9.0
332,Masters Season 3,3.0,US Masters,,5.0,Would You Like Fries with That?,2011-05-04,8.0
333,Masters Season 3,3.0,US Masters,,6.0,I'm With the Band,2011-05-11,7.0
334,Masters Season 3,3.0,US Masters,,7.0,Date Night,2011-05-18,6.0
335,Masters Season 3,3.0,US Masters,,8.0,Blinded Me with Science,2011-06-01,5.0
336,Masters Season 3,3.0,US Masters,,9.0,A Soldier's Story,2011-06-08,4.0
337,Masters Season 3,3.0,US Masters,,10.0,My Life as a Chef,2011-06-15,3.0
338,Masters Season 4,4.0,US Masters,,1.0,The Buffet Must Go On,2012-07-25,12.0
339,Masters Season 4,4.0,US Masters,,2.0,You May Now Feed the Bride,2012-08-01,10.0
340,Masters Season 4,4.0,US Masters,,3.0,What Would Brian Boitano Eat?,2012-08-08,9.0
341,Masters Season 4,4.0,US Masters,,4.0,Grand Canyon Cookout,2012-08-15,8.0
342,Masters Season 4,4.0,US Masters,,5.0,Holly Madison's Pool Party,2012-08-22,7.0
343,Masters Season 4,4.0,US Masters,,6.0,Thai One On,2012-08-29,6.0
344,Masters Season 4,4.0,US Masters,,7.0,Culinary Knock Out,2012-09-05,5.0
345,Masters Season 4,4.0,US Masters,,8.0,Foodie Flash Mob,2012-09-12,4.0
346,Masters Season 4,4.0,US Masters,,9.0,"Old School, New School",2012-09-19,3.0
347,Masters Season 4,4.0,US Masters,,10.0,Finale,2012-09-26,2.0
348,Masters Season 5,5.0,US Masters,,1.0,Sous chefs and Skydives,2013-07-24,13.0
349,Masters Season 5,5.0,US Masters,,2.0,Asian Night Market,2013-07-31,12.0
350,Masters Season 5,5.0,US Masters,,3.0,"Sex, Greed, and Murder",2013-08-07,10.0
351,Masters Season 5,5.0,US Masters,,4.0,Curtis' Surprise Party,2013-08-14,9.0
352,Masters Season 5,5.0,US Masters,,5.0,Restaurant Wars,2013-08-21,8.0
353,Masters Season 5,5.0,US Masters,,6.0,Mindy Kaling and Yo Gabba Gabba,2013-08-28,7.0
354,Masters Season 5,5.0,US Masters,,7.0,Catch of the Day,2013-09-04,6.0
355,Masters Season 5,5.0,US Masters,,8.0,Lucha Vavoom,2013-09-11,5.0
356,Masters Season 5,5.0,US Masters,,9.0,Teacher Tribute,2013-09-18,4.0
357,Masters Season 5,5.0,US Masters,,10.0,Finale,2013-09-25,3.0
358,Wisconsin,21.0,US,303.0,1.0,Chef's Test,2024-03-20,15.0
359,Wisconsin,21.0,US,304.0,2.0,Living the High Life,2024-03-27,14.0
360,Wisconsin,21.0,US,305.0,3.0,Take It Cheesey,2024-04-03,13.0
361,Wisconsin,21.0,US,306.0,4.0,The Wright Way,2024-04-10,12.0
362,Wisconsin,21.0,US,307.0,5.0,Supper Club,2024-04-17,10.0
363,Wisconsin,21.0,US,308.0,6.0,Chaos Cuisine,2024-04-24,11.0
364,Wisconsin,21.0,US,309.0,7.0,Sausage Race,2024-05-01,10.0
365,Wisconsin,21.0,US,310.0,8.0,Restaurant Wars,2024-05-08,9.0
366,Wisconsin,21.0,US,311.0,9.0,The Good Land,2024-05-15,8.0
367,Wisconsin,21.0,US,312.0,10.0,Door County Fish Boil,6667278,6.0
368,Wisconsin,21.0,US,313.0,11.0,Lay It All on the Table,2024-05-29,6.0
369,Wisconsin,21.0,US,314.0,12.0,"Goodbye, Wisconsin",2024-06-05,5.0
370,Wisconsin,21.0,US,315.0,13.0,Set Sail,2024-06-12,4.0
371,Wisconsin,21.0,US,316.0,14.0,Cruising to a Win,2024-06-19,3.0
372,Canada,22.0,US,317.0,1.0,,2024-03-14,15.0
